Country Name,Country Code,Series Name,Series Code,2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Morocco,MAR,Net migration,SM.POP.NETM,-91217,-35474,-47902,-38594,-39650,-46802
Mozambique,MOZ,Net migration,SM.POP.NETM,-49080,-25864,-23103,-34936,-36276,-38940
Myanmar,MMR,Net migration,SM.POP.NETM,-100783,-66213,-35370,-34988,-34989,-37979
Namibia,NAM,Net migration,SM.POP.NETM,19676,27056,31327,22212,11675,4211
Nauru,NRU,Net migration,SM.POP.NETM,-171,-214,-137,-144,-148,-121
Nepal,NPL,Net migration,SM.POP.NETM,182203,162139,130001,-379321,-409782,-401282
Netherlands,NLD,Net migration,SM.POP.NETM,109003,67598,106416,224472,144558,121628
New Caledonia,NCL,Net migration,SM.POP.NETM,-2335,-1181,-1181,485,485,455
New Zealand,NZL,Net migration,SM.POP.NETM,69770,42124,-14944,21404,21404,18766
Nicaragua,NIC,Net migration,SM.POP.NETM,-19730,-10383,-10383,-7996,-7996,-8189
Niger,NER,Net migration,SM.POP.NETM,-15778,-4402,-4405,995,995,-4041
Nigeria,NGA,Net migration,SM.POP.NETM,-99722,-14497,-86115,-51680,-57936,-35202
North Macedonia,MKD,Net migration,SM.POP.NETM,-24204,-23458,-5483,-5296,-5597,-5728
Northern Mariana Islands,MNP,Net migration,SM.POP.NETM,-1551,-755,-1373,-1348,-1321,-1097
Norway,NOR,Net migration,SM.POP.NETM,25707,11277,19804,58040,53806,44356
Oman,OMN,Net migration,SM.POP.NETM,-117480,-171635,-16726,339063,156285,154219
Pakistan,PAK,Net migration,SM.POP.NETM,-1177220,-559291,-565673,-1322625,-1619557,-1401173
Palau,PLW,Net migration,SM.POP.NETM,-46,0,-21,-20,-19,-14
Panama,PAN,Net migration,SM.POP.NETM,10623,5473,5473,7967,7262,6706
Papua New Guinea,PNG,Net migration,SM.POP.NETM,22978,10703,10703,-787,-787,-707
Paraguay,PRY,Net migration,SM.POP.NETM,-16263,-8226,-8226,-12500,-12500,-12451
Peru,PER,Net migration,SM.POP.NETM,74270,55375,41868,33982,24783,18406
Philippines,PHL,Net migration,SM.POP.NETM,-6208,-47014,-85185,-221754,-164284,-160373
Poland,POL,Net migration,SM.POP.NETM,7696,3920,2251,967744,-7824,-238062
Portugal,PRT,Net migration,SM.POP.NETM,63031,54076,69606,68696,29102,20648
Puerto Rico,PRI,Net migration,SM.POP.NETM,10623,-7410,-7410,16704,19833,11561
Qatar,QAT,Net migration,SM.POP.NETM,10557,-50433,24501,80004,39995,46105
Romania,ROU,Net migration,SM.POP.NETM,-27909,-13202,-17731,89076,-27780,-28466
Russian Federation,RUS,Net migration,SM.POP.NETM,336494,334094,314112,765629,27807,-178042
Rwanda,RWA,Net migration,SM.POP.NETM,-24492,-22251,-21492,-9001,-9001,-15582
Samoa,WSM,Net migration,SM.POP.NETM,-2313,-2299,-2860,-2837,-2810,-2754
San Marino,SMR,Net migration,SM.POP.NETM,187,247,-368,-403,-190,37
Sao Tome and Principe,STP,Net migration,SM.POP.NETM,-1716,0,-782,-592,-592,-604
Saudi Arabia,SAU,Net migration,SM.POP.NETM,191582,-74725,-106287,977072,325691,122170
Senegal,SEN,Net migration,SM.POP.NETM,38386,33848,25519,16425,-9999,-10307
Serbia,SRB,Net migration,SM.POP.NETM,-18891,-10220,-8974,40118,4348,-8132
Seychelles,SYC,Net migration,SM.POP.NETM,1770,1726,2086,1788,1809,1747
Sierra Leone,SLE,Net migration,SM.POP.NETM,-2238,1292,-1544,-4000,-4000,-11000
Singapore,SGP,Net migration,SM.POP.NETM,870,-145556,-44030,214842,26996,20011
Sint Maarten (Dutch part),SXM,Net migration,SM.POP.NETM,526,519,498,564,567,558
Slovak Republic,SVK,Net migration,SM.POP.NETM,3128,4350,-8172,92314,4933,-21027
Slovenia,SVN,Net migration,SM.POP.NETM,16352,28514,2477,9014,5339,3319
