Country Name,Country Code,Series Name,Series Code,2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Dominica,DMA,"Compulsory education, duration (years)",SE.COM.DURS,12,12,12,12,12,..
Dominican Republic,DOM,"Compulsory education, duration (years)",SE.COM.DURS,15,15,15,15,15,..
Ecuador,ECU,"Compulsory education, duration (years)",SE.COM.DURS,15,15,15,15,15,..
"Egypt, Arab Rep.",EGY,"Compulsory education, duration (years)",SE.COM.DURS,12,12,12,12,12,..
El Salvador,SLV,"Compulsory education, duration (years)",SE.COM.DURS,15,15,15,15,15,..
Equatorial Guinea,GNQ,"Compulsory education, duration (years)",SE.COM.DURS,6,6,6,6,6,..
Eritrea,ERI,"Compulsory education, duration (years)",SE.COM.DURS,8,8,8,8,8,..
Estonia,EST,"Compulsory education, duration (years)",SE.COM.DURS,9,9,9,9,9,..
Eswatini,SWZ,"Compulsory education, duration (years)",SE.COM.DURS,7,7,7,7,7,..
Ethiopia,ETH,"Compulsory education, duration (years)",SE.COM.DURS,8,8,8,8,8,..
Faroe Islands,FRO,"Compulsory education, duration (years)",SE.COM.DURS,..,..,..,..,..,..
Fiji,FJI,"Compulsory education, duration (years)",SE.COM.DURS,..,..,..,..,..,..
Finland,FIN,"Compulsory education, duration (years)",SE.COM.DURS,10,10,10,11,11,..
France,FRA,"Compulsory education, duration (years)",SE.COM.DURS,10,13,13,13,13,..
French Polynesia,PYF,"Compulsory education, duration (years)",SE.COM.DURS,..,..,..,..,..,..
Gabon,GAB,"Compulsory education, duration (years)",SE.COM.DURS,10,10,10,10,10,..
"Gambia, The",GMB,"Compulsory education, duration (years)",SE.COM.DURS,9,9,9,9,9,..
Georgia,GEO,"Compulsory education, duration (years)",SE.COM.DURS,9,9,9,9,9,..
Germany,DEU,"Compulsory education, duration (years)",SE.COM.DURS,13,13,13,13,13,..
Ghana,GHA,"Compulsory education, duration (years)",SE.COM.DURS,11,11,11,11,11,..
Gibraltar,GIB,"Compulsory education, duration (years)",SE.COM.DURS,10,10,10,12,12,..
Greece,GRC,"Compulsory education, duration (years)",SE.COM.DURS,10,10,10,10,10,..
Greenland,GRL,"Compulsory education, duration (years)",SE.COM.DURS,..,..,..,..,..,..
Grenada,GRD,"Compulsory education, duration (years)",SE.COM.DURS,12,12,12,12,12,..
Guam,GUM,"Compulsory education, duration (years)",SE.COM.DURS,0,0,0,0,0,..
Guatemala,GTM,"Compulsory education, duration (years)",SE.COM.DURS,16,16,16,16,16,..
Guinea,GIN,"Compulsory education, duration (years)",SE.COM.DURS,6,6,6,6,6,..
Guinea-Bissau,GNB,"Compulsory education, duration (years)",SE.COM.DURS,9,9,9,9,9,..
Guyana,GUY,"Compulsory education, duration (years)",SE.COM.DURS,6,6,6,6,6,..
Haiti,HTI,"Compulsory education, duration (years)",SE.COM.DURS,6,6,6,6,6,..
Honduras,HND,"Compulsory education, duration (years)",SE.COM.DURS,12,12,12,12,12,..
"Hong Kong SAR, China",HKG,"Compulsory education, duration (years)",SE.COM.DURS,9,9,9,9,9,..
Hungary,HUN,"Compulsory education, duration (years)",SE.COM.DURS,13,13,13,13,13,..
Iceland,ISL,"Compulsory education, duration (years)",SE.COM.DURS,10,10,10,10,10,..
India,IND,"Compulsory education, duration (years)",SE.COM.DURS,8,8,8,8,8,..
Indonesia,IDN,"Compulsory education, duration (years)",SE.COM.DURS,9,9,9,9,9,..
"Iran, Islamic Rep.",IRN,"Compulsory education, duration (years)",SE.COM.DURS,9,9,9,9,9,..
